-! 07/11/15 10:23:10.936 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
-! 07/11/15 10:23:10.938 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
	*** Attempting to initialize the Sick LD...
	Attempting to connect to Sick LD @ 192.168.187.204:49152
		Connected to Sick LD!
	Attempting to start buffer monitor...
		Buffer monitor started!
	Attempting to sync driver with Sick LD...
		Synchronized!
	*** Init. complete: Sick LD is online and ready!
	Num. Active Sectors: 1
	Motor Speed: 10 (Hz)
	Scan Resolution: 1 (deg)

	Attempting to set desired scan config...
		Using desired scan area(s)!
	=========== Sick Sector Config ===========
	Num. Active Sectors: 1
	Num. Initialized Sectors: 1
	Sector Configs.:
		0 [0,359] (MEASURING)
	==========================================
	Requesting RANGE ONLY data stream from Sick LD...
		Data stream started!
valor0 es 496.094
valor1 es 460.938
valor2 es 484.375
valor3 es 472.656
valor4 es 480.469
valor5 es 460.938
valor6 es 449.219
valor7 es 500
valor8 es 464.844
valor9 es 500
valor10 es 496.094
valor11 es 488.281
valor12 es 500
valor13 es 457.031
valor14 es 507.812
valor15 es 472.656
valor16 es 468.75
valor17 es 476.562
valor18 es 480.469
valor19 es 429.688
valor20 es 484.375
valor21 es 468.75
valor22 es 500
valor23 es 476.562
valor24 es 453.125
valor25 es 468.75
valor26 es 468.75
valor27 es 449.219
valor28 es 453.125
valor29 es 425.781
valor30 es 460.938
valor31 es 425.781
valor32 es 445.312
valor33 es 453.125
valor34 es 453.125
valor35 es 480.469
valor36 es 472.656
valor37 es 449.219
valor38 es 476.562
valor39 es 453.125
valor40 es 429.688
valor41 es 421.875
valor42 es 457.031
valor43 es 453.125
valor44 es 441.406
valor45 es 429.688
valor46 es 468.75
valor47 es 449.219
valor48 es 464.844
valor49 es 449.219
valor50 es 480.469
valor51 es 480.469
valor52 es 460.938
valor53 es 468.75
valor54 es 441.406
valor55 es 480.469
valor56 es 460.938
valor57 es 464.844
valor58 es 457.031
valor59 es 496.094
valor60 es 492.188
valor61 es 476.562
valor62 es 42.9688
valor63 es 27.3438
valor64 es 46.875
valor65 es 42.9688
valor66 es 66.4062
valor67 es 42.9688
valor68 es 46.875
valor69 es 42.9688
valor70 es 39.0625
valor71 es 42.9688
valor72 es 31.25
valor73 es 42.9688
valor74 es 31.25
valor75 es 66.4062
valor76 es 39.0625
valor77 es 58.5938
valor78 es 42.9688
valor79 es 50.7812
valor80 es 54.6875
valor81 es 46.875
valor82 es 35.1562
valor83 es 46.875
valor84 es 82.0312
valor85 es 62.5
valor86 es 62.5
valor87 es 50.7812
valor88 es 31.25
valor89 es 58.5938
valor90 es 19.5312
valor91 es 39.0625
valor92 es 46.875
valor93 es 62.5
valor94 es 74.2188
valor95 es 58.5938
valor96 es 54.6875
valor97 es 93.75
valor98 es 85.9375
valor99 es 39.0625
valor100 es 89.8438
valor101 es 62.5
valor102 es 66.4062
valor103 es 85.9375
valor104 es 46.875
valor105 es 62.5
valor106 es 50.7812
valor107 es 82.0312
valor108 es 82.0312
valor109 es 82.0312
valor110 es 62.5
valor111 es 66.4062
valor112 es 62.5
valor113 es 74.2188
valor114 es 50.7812
valor115 es 62.5
valor116 es 15.625
valor117 es 27.3438
valor118 es 31.25
valor119 es 46.875
valor120 es 39.0625
valor121 es 27.3438
valor122 es 62.5
valor123 es 78.125
valor124 es 183.594
valor125 es 328.125
valor126 es 355.469
valor127 es 359.375
valor128 es 382.812
valor129 es 394.531
valor130 es 410.156
valor131 es 402.344
valor132 es 410.156
valor133 es 382.812
valor134 es 351.562
valor135 es 339.844
valor136 es 328.125
valor137 es 296.875
valor138 es 234.375
valor139 es 74.2188
valor140 es 42.9688
valor141 es 58.5938
valor142 es 50.7812
valor143 es 31.25
valor144 es 35.1562
valor145 es 39.0625
valor146 es 35.1562
valor147 es 46.875
valor148 es 42.9688
valor149 es 50.7812
valor150 es 54.6875
valor151 es 46.875
valor152 es 54.6875
valor153 es 42.9688
valor154 es 42.9688
valor155 es 50.7812
valor156 es 35.1562
valor157 es 50.7812
valor158 es 50.7812
valor159 es 31.25
valor160 es 46.875
valor161 es 42.9688
valor162 es 74.2188
valor163 es 66.4062
valor164 es 42.9688
valor165 es 42.9688
valor166 es 39.0625
valor167 es 50.7812
valor168 es 58.5938
valor169 es 66.4062
valor170 es 54.6875
valor171 es 58.5938
valor172 es 39.0625
valor173 es 50.7812
valor174 es 58.5938
valor175 es 62.5
valor176 es 39.0625
valor177 es 62.5
valor178 es 23.4375
valor179 es 42.9688
valor180 es 50.7812
valor181 es 46.875
valor182 es 66.4062
valor183 es 66.4062
valor184 es 19.5312
valor185 es 27.3438
valor186 es 66.4062
valor187 es 50.7812
valor188 es 46.875
valor189 es 58.5938
valor190 es 58.5938
valor191 es 50.7812
valor192 es 85.9375
valor193 es 31.25
valor194 es 66.4062
valor195 es 82.0312
valor196 es 66.4062
valor197 es 35.1562
valor198 es 74.2188
valor199 es 50.7812
valor200 es 46.875
valor201 es 50.7812
valor202 es 82.0312
valor203 es 27.3438
valor204 es 66.4062
valor205 es 85.9375
valor206 es 74.2188
valor207 es 46.875
valor208 es 54.6875
valor209 es 27.3438
valor210 es 35.1562
valor211 es 42.9688
valor212 es 89.8438
valor213 es 58.5938
valor214 es 35.1562
valor215 es 42.9688
valor216 es 27.3438
valor217 es 54.6875
valor218 es 42.9688
valor219 es 46.875
valor220 es 42.9688
valor221 es 42.9688
valor222 es 35.1562
valor223 es 82.0312
valor224 es 511.719
valor225 es 515.625
valor226 es 468.75
valor227 es 500
valor228 es 523.438
valor229 es 519.531
valor230 es 500
valor231 es 500
valor232 es 492.188
valor233 es 488.281
valor234 es 484.375
valor235 es 484.375
valor236 es 496.094
valor237 es 507.812
valor238 es 500
valor239 es 476.562
valor240 es 496.094
valor241 es 480.469
valor242 es 523.438
valor243 es 492.188
valor244 es 492.188
valor245 es 484.375
valor246 es 523.438
valor247 es 484.375
valor248 es 500
valor249 es 488.281
valor250 es 480.469
valor251 es 496.094
valor252 es 507.812
valor253 es 472.656
valor254 es 511.719
valor255 es 484.375
valor256 es 484.375
valor257 es 476.562
valor258 es 527.344
valor259 es 484.375
valor260 es 492.188
valor261 es 492.188
valor262 es 511.719
valor263 es 496.094
valor264 es 488.281
valor265 es 480.469
valor266 es 492.188
valor267 es 496.094
valor268 es 500
valor269 es 488.281
valor270 es 460.938
valor271 es 500
valor272 es 507.812
valor273 es 496.094
valor274 es 507.812
valor275 es 480.469
valor276 es 503.906
valor277 es 464.844
valor278 es 496.094
valor279 es 503.906
valor280 es 500
